,기준_년분기_코드,총생활인구수,주간생활비율,야간생활비율,남녀비율,고령화비율,생활인구표준편차,총점포수,개업수,폐업수,개폐업률,프랜차이즈비율,업종다양도,업종다양도_대,업종다양도_소,최대점유율_대,최대점유율_소,총매출액,총매출액_log,주간매출비율,야간매출비율,주중매출비율,주말매출비율,남녀매출비율,성별균형도,연령대다양도,매출표준편차_log,매출증감률,체류활성도_주간,체류활성도_야간,점포생산성_log,수요당매출_log,상권포화도,다양성시너지,집중성과_대,집중성과_소,출퇴근형지수,주말야간형지수,주중주말격차,성별밸런스지수,남녀비율근접도,성별정합도,매출민감도_raw,프랜차이즈지배력,개폐업탄력도,고령층영향도_log,총생활인구수_p3,주간생활비율_p3,야간생활비율_p3,남녀비율_p3,고령화비율_p3,생활인구표준편차_p3,총점포수_p3,개업수_p3,폐업수_p3,개폐업률_p3,프랜차이즈비율_p3,업종다양도_p3,업종다양도_대_p3,업종다양도_소_p3,최대점유율_대_p3,최대점유율_소_p3,총매출액_p3,총매출액_log_p3,주간매출비율_p3,야간매출비율_p3,주중매출비율_p3,주말매출비율_p3,남녀매출비율_p3,성별균형도_p3,연령대다양도_p3,매출표준편차_log_p3,매출증감률_p3,체류활성도_주간_p3,체류활성도_야간_p3,점포생산성_log_p3,수요당매출_log_p3,상권포화도_p3,다양성시너지_p3,집중성과_대_p3,집중성과_소_p3,출퇴근형지수_p3,주말야간형지수_p3,주중주말격차_p3,성별밸런스지수_p3,남녀비율근접도_p3,성별정합도_p3,매출민감도_raw_p3,프랜차이즈지배력_p3,개폐업탄력도_p3,고령층영향도_log_p3,시간대균형도,주중주말균형도,연령다양도_norm,규모P,생산성P,효율P,체류P,다양성P,포화역P,변동안정P,개폐안정P,과점완화P,활성지수,소비균형성지수,상권지속가능지수,민감도P_변동,민감도P_증감,민감도P_주중주말,민감도P_시간대,매출민감성지수,활성지수_100,소비균형성지수_100,상권지속가능지수_100,매출민감성지수_100,유입탄력성_norm,공급탄력성_norm,총탄력성_norm,dlog_pop,dlog_store,dlog_sales,변화강도_pop,변화강도_store,변화강도_sales,유입반응지수,공급반응지수,총반응지수,상권외부반응성지수,유입반응지수_100,공급반응지수_100,총반응지수_100,상권외부반응성지수_100,총생활인구수_sp,주간생활비율_sp,야간생활비율_sp,생활인구표준편차_sp,총점포수_sp,개업수_sp,폐업수_sp,프랜차이즈비율_sp,업종다양도_대_sp,총매출액_sp,주중매출비율_sp,주말매출비율_sp,연령대다양도_sp,매출표준편차_log_sp,점포생산성_log_sp,수요당매출_log_sp,상권포화도_sp,다양성시너지_sp,유입탄력성_norm_sp,공급탄력성_norm_sp,변화강도_pop_sp,변화강도_store_sp,변화강도_sales_sp
count,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0,768.0
mean,20217.5,110002.11743790924,0.6842497435764446,0.3157502564235554,0.9321608460642957,0.40210598654234725,2695.791484950662,1197.27734375,37.420572916666664,31.751302083333332,0.9249971904804116,0.09871946987735171,1.8112936943208329,1.0286685180435813,1.2854003243808745,0.4586169953948382,0.15734474677370416,39395688523.59635,23.941465686310437,0.8818035355108452,0.11819646448915473,0.7732642346966777,0.2267357653033224,0.49970296117365015,0.30992194506492604,0.8091095480100262,19.563984710590493,0.01576388890061274,0.6037259039966418,0.037672624909352005,0.03437383028381936,0.00027145290931085577,0.010450803775712168,1.5223005844589155,11.007814518123185,3.795144504023597,0.6820476074849183,0.026979837277395436,0.5465284693933552,0.690078054935074,0.49970296117365015,0.35164830889779425,1.6915045559576838,0.09188861834773461,114.63780001854434,9.549151784504348,110002.11743790924,0.6842497435764446,0.3157502564235554,0.9321608460642957,0.40210598654234725,2695.791484950662,1197.27734375,37.420572916666664,31.751302083333332,0.9249971904804116,0.09871946987735171,1.8112936943208329,1.0286685180435813,1.2854003243808745,0.4586169953948382,0.15734474677370416,39395688523.59635,23.941465686310437,0.8818035355108452,0.11819646448915473,0.7732642346966777,0.2267357653033224,0.49970296117365015,0.30992194506492604,0.8091095480100262,19.563984710590493,0.01576388890061274,0.6037259039966418,0.037672624909352005,0.03437383028381936,0.00027145290931085577,0.010450803775712168,1.5223005844589155,11.007814518123185,3.795144504023597,0.6820476074849183,0.026979837277395436,0.5465284693933552,0.690078054935074,0.49970296117365015,0.35164830889779425,1.6915045559576838,0.09188861834773461,114.63780001854434,9.549151784504348,0.23639292897830946,0.4534715306066448,0.4673665364572099,0.44736422025132844,0.5672857822502388,0.6521622095336888,0.544447678784749,0.4523268479556435,0.4385360326535932,0.5126154972968446,0.5186016376213495,0.5558549929898496,0.5264840932982536,0.3933711804561481,0.5064020401404092,0.48738450270315536,0.5769778520619143,0.5424022185483757,0.40509502704229544,0.520494666465095,52.64840885416667,39.33711067708333,50.64020442708334,52.04943359375,0.5308757887456121,0.4880935730499624,0.4585317787603302,-0.0021006129596066064,0.00506007670899214,0.012195914136383407,0.5535763471541181,0.5094933143016599,0.5793018830114279,0.3021662013159068,0.24492215729350578,0.2710907980717119,0.27305350305810744,30.216608072916667,24.49221744791667,27.109092447916666,27.30535286458333,87060.1816086938,0.568115650179806,0.2756343498201939,1591.7291649443143,807.4976128472222,26.659830729166668,21.966688368055554,0.08453165168319159,0.8708747649448935,27789497588.895615,0.6464555126220924,0.19729448737790753,0.6782250844556157,16.385115074596204,0.032745495720292526,0.00024745471622913924,0.00764901645510335,1.1302202858481893,0.44669227230960473,0.41852209940895574,0.45945413703481974,0.4404390775229798,0.49245459401591024
std,17.125961749371587,46538.3616270241,0.04564128669173302,0.045641286691732987,0.0904402173109776,0.1237320606116895,2879.552995599157,1041.7669699701107,29.139621519590417,26.336838698254574,0.5076425541223798,0.05290437886399953,1.7908248480350377,0.10049371004227671,1.2747091182149726,0.09476489235910994,0.12059208154638908,36280698171.9831,1.0786126016979538,0.03442782025379415,0.034427820253794185,0.04262915358179556,0.04262915358179568,0.49698072104562446,0.043454699715647464,0.17709093862167696,0.9803869319474756,0.10930619702033599,0.05102215667635165,0.013325648596425994,0.02540692566187503,0.0001475922705420343,0.0067803024234903,1.5662577079770872,2.515968385998716,2.9832695658687656,0.04855058192947415,0.010101003412668752,0.0852583071635913,0.04345469971564747,0.49698072104562446,0.35107397876483043,1.3500950080380536,0.07524426394557025,85.72403586577246,2.694315485882131,46538.3616270241,0.04564128669173302,0.045641286691732987,0.0904402173109776,0.1237320606116895,2879.552995599157,1041.7669699701107,29.139621519590417,26.336838698254574,0.5076425541223798,0.05290437886399953,1.7908248480350377,0.10049371004227671,1.2747091182149726,0.09476489235910994,0.12059208154638908,36280698171.9831,1.0786126016979538,0.03442782025379415,0.034427820253794185,0.04262915358179556,0.04262915358179568,0.49698072104562446,0.043454699715647464,0.17709093862167696,0.9803869319474756,0.10930619702033599,0.05102215667635165,0.013325648596425994,0.02540692566187503,0.0001475922705420343,0.0067803024234903,1.5662577079770872,2.515968385998716,2.9832695658687656,0.04855058192947415,0.010101003412668752,0.0852583071635913,0.04345469971564747,0.49698072104562446,0.35107397876483043,1.3500950080380536,0.07524426394557025,85.72403586577246,2.694315485882131,0.06885564050758833,0.0852583071635913,0.3147046981991112,0.3120948494935138,0.32189848568829804,0.24678031358680405,0.07163287987527216,0.26425763548014775,0.31723852519100515,0.3091895140562474,0.3209835382703764,0.33933969661508656,0.06306559502704262,0.1334694209775799,0.19202780642839062,0.30918951405624745,0.29215336768439304,0.32693405287545557,0.3033559875050503,0.18516594080759985,6.306561715566992,13.346937766834387,19.202765909562395,18.51659372401694,0.15797673864631062,0.13374362285022087,0.1325109642448771,0.055869333842856174,0.012488302475907691,0.12375644879048703,0.3033490422721093,0.2970103474409163,0.294257013450599,0.20394751407916262,0.15713337671369113,0.16885445549198297,0.12852556529832518,20.394745574076914,15.713344676215225,16.88544902620998,12.852566233709215,51528.952465526374,0.24594099157319296,0.12135561420808283,1215.9079060963254,556.6513753095523,20.159386769188743,16.152213405567437,0.04630118096542635,0.377829178769147,26732870010.940308,0.28010345455055413,0.09047117701265985,0.31773430601366975,7.094409700291685,0.02725292401621501,0.0001771109015063823,0.004114678323512273,1.1011190028936915,0.2224087318918812,0.18727057133716268,0.2764670710948265,0.2771594192178193,0.29066996927913
min,20191.0,22669.4485766577,0.5989347278152158,0.191213809978421,0.729322270593698,0.1805512239236754,165.5445444646183,151.0,1.0,0.0,0.0,0.023492907801408027,0.0,0.6229763195860265,0.0,0.3532110091743119,0.08047945205479451,299991455.0,21.594999875224502,0.8117559146939868,0.030759891937109776,0.6802870763578492,0.1432273950805808,0.0,0.19878886252865907,0.4071502747797897,17.360544971573887,-0.19673109335907407,0.4874305996763914,0.010290477450462233,0.004566160419327334,0.00011147496462422784,0.0028124226664484114,0.0,8.457851357268957,1.8399807168336269,0.5522270579233639,0.004405659195112393,0.3605741527156976,0.5698164012169284,0.0,0.0,0.0,0.0,0.0,4.420021688801974,22669.4485766577,0.5989347278152158,0.191213809978421,0.729322270593698,0.1805512239236754,165.5445444646183,151.0,1.0,0.0,0.0,0.023492907801408027,0.0,0.6229763195860265,0.0,0.3532110091743119,0.08047945205479451,299991455.0,21.594999875224502,0.8117559146939868,0.030759891937109776,0.6802870763578492,0.1432273950805808,0.0,0.19878886252865907,0.4071502747797897,17.360544971573887,-0.19673109335907407,0.4874305996763914,0.010290477450462233,0.004566160419327334,0.00011147496462422784,0.0028124226664484114,0.0,8.457851357268957,1.8399807168336269,0.5522270579233639,0.004405659195112393,0.3605741527156976,0.5698164012169284,0.0,0.0,0.0,0.0,0.0,4.420021688801974,0.061519783874219525,0.2864547901611624,0.0012019230769201878,0.0012019230769201878,0.014423076923042252,0.16346153846114553,0.3221153846146103,0.1850961538457089,0.002403846156244227,0.014423076925446088,0.002403846156244227,2.403854892918389e-12,0.29723557692260283,0.1490895416149922,0.0805288461560564,0.0012019230769201878,0.0,0.0,0.0012019230769201878,0.05096153846141596,29.724,14.909,8.053,5.096,0.221450205193992,0.0,0.0,-0.2321807525745303,-0.0648305345722644,-0.4671187687846796,0.0,0.0024038461538403756,0.03365384615376526,0.0,0.0,0.0,0.009752260066860969,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,20202.75,70643.42806627239,0.6526219559520676,0.2939954426901001,0.8642508247991849,0.31473827686394984,1013.7540889034682,546.75,17.0,14.0,0.6467524509484817,0.06328113115389564,0.0,1.0336241784582063,0.0,0.41029641185647425,0.10489908949056054,11533182604.0,23.168487411886023,0.860825749907177,0.0933207294604326,0.745944895405832,0.19610999763458642,0.0,0.27987599677736386,0.684706485262043,18.8579380181239,-0.05270996257294729,0.567804986564127,0.026947171702357078,0.01617934557551305,0.00017655405962862738,0.006059813864051986,0.0,9.616154764534395,2.4866788183556334,0.6559490729929591,0.0204610155146938,0.49188979081166395,0.6641789882089277,0.0,0.0,0.5869960198199435,0.04685740711421017,58.25663570796276,7.69288450704636,70643.42806627239,0.6526219559520676,0.2939954426901001,0.8642508247991849,0.31473827686394984,1013.7540889034682,546.75,17.0,14.0,0.6467524509484817,0.06328113115389564,0.0,1.0336241784582063,0.0,0.41029641185647425,0.10489908949056054,11533182604.0,23.168487411886023,0.860825749907177,0.0933207294604326,0.745944895405832,0.19610999763458642,0.0,0.27987599677736386,0.684706485262043,18.8579380181239,-0.05270996257294729,0.567804986564127,0.026947171702357078,0.01617934557551305,0.00017655405962862738,0.006059813864051986,0.0,9.616154764534395,2.4866788183556334,0.6559490729929591,0.0204610155146938,0.49188979081166395,0.6641789882089277,0.0,0.0,0.5869960198199435,0.04685740711421017,58.25663570796276,7.69288450704636,0.1866414589208653,0.39221999526917284,0.17487980769188732,0.16105769230730516,0.2451923076917183,0.47295673076809386,0.4999999999987981,0.2043269230764319,0.13221153846362443,0.2043269230788357,0.20192307692499534,0.22536057692493897,0.48503605769138214,0.26254318594618953,0.36117788461692024,0.19411057692261033,0.352163461537615,0.24699519230709857,0.13221153846122066,0.3998798076913465,48.504,26.254,36.118,39.988,0.4129548530988156,0.42524004214263283,0.40657479599761226,-0.02710266602589062,-0.0018140520116671777,-0.04910238622707119,0.3052884615377277,0.2524038461532394,0.35817307692221595,0.13115467705977113,0.11114889504281839,0.13298189524823728,0.17463352240261504,13.11525,11.1145,13.2985,17.463,44095.757677204296,0.6487662538511894,0.28590858241618694,791.2106913679504,406.125,11.5,10.0,0.06558820189333718,0.9498677859105891,9582314401.375,0.7200623460688003,0.1996220877945101,0.6380486939554186,18.68174147218697,0.01676846326585546,0.0001631187794972625,0.005623787855855506,0.0,0.40268321112575645,0.4452725885625121,0.2668269230762817,0.25300480769169953,0.3277243589735712
50%,20217.5,113161.78858043998,0.6732363376687824,0.3267636623312176,0.9340577368775995,0.3828067326683241,1577.5299045207917,736.0,28.0,24.0,0.8333333333020834,0.08020979020957446,1.790556232847266,1.0568061018155341,1.1490752727966171,0.43301270250368185,0.12082763047606922,25230387069.5,23.95131127475085,0.8833703807183255,0.11662961928167462,0.7770261550141072,0.22297384498589282,0.7487442424071538,0.31169770514669537,0.8032270757243429,19.563803676923033,0.004611223596039755,0.5912474774384342,0.03756107612204962,0.03223641764791821,0.0002120351395647293,0.008274106179844223,1.3634076146758827,10.287522165451648,2.830700630181198,0.6830196920554021,0.02571741871282704,0.5540523100282144,0.6883022948533046,0.7487442424071538,0.5133353071969391,1.3591840288861627,0.07018894514134327,89.6569248343535,9.207108141726248,113161.78858043998,0.6732363376687824,0.3267636623312176,0.9340577368775995,0.3828067326683241,1577.5299045207917,736.0,28.0,24.0,0.8333333333020834,0.08020979020957446,1.790556232847266,1.0568061018155341,1.1490752727966171,0.43301270250368185,0.12082763047606922,25230387069.5,23.95131127475085,0.8833703807183255,0.11662961928167462,0.7770261550141072,0.22297384498589282,0.7487442424071538,0.31169770514669537,0.8032270757243429,19.563803676923033,0.004611223596039755,0.5912474774384342,0.03756107612204962,0.03223641764791821,0.0002120351395647293,0.008274106179844223,1.3634076146758827,10.287522165451648,2.830700630181198,0.6830196920554021,0.02571741871282704,0.5540523100282144,0.6883022948533046,0.7487442424071538,0.5133353071969391,1.3591840288861627,0.07018894514134327,89.6569248343535,9.207108141726248,0.23325923856334918,0.44594768997178563,0.4302884615374272,0.4038461538451831,0.6706730769214647,0.627403846152338,0.531249999998723,0.42788461538358685,0.45552884615515493,0.46153846153975586,0.5396634615395681,0.6382211538470235,0.5359675480758752,0.3985010295273845,0.49248798077045075,0.5384615384602441,0.6093749999985352,0.6009615384600938,0.34855769230685446,0.5243990384602779,53.597,39.85,49.249,52.44,0.5437599567844487,0.48827876029350137,0.46670873322642703,-0.0013484000721728506,0.0046153955394285795,0.0,0.5540865384602065,0.4999999999987981,0.6009615384600938,0.27554209609741703,0.23456213137719023,0.2646833802882743,0.25806295517461847,27.554000000000002,23.456,26.4685,25.8065,100925.91892336581,0.6628612828297589,0.3295961652649242,1544.9044326425944,672.25,23.5,20.75,0.08988538569721395,1.0450582115563583,19210584044.833336,0.7658203920544088,0.2221543365930535,0.7848550327827252,19.200858791083494,0.028609690943705735,0.00021625426864629247,0.008644032330435363,1.2385345134819452,0.5181889048896331,0.4760128970985474,0.5004006410244382,0.4752604166655242,0.5286458333320626
75%,20232.25,138244.22206834677,0.7060045573099,0.3473780440479324,0.9973710352171348,0.47251130880193015,2833.493322151696,1561.75,49.0,42.0,1.0909090908636363,0.1200100452032003,3.698203682843347,1.0744337200478271,2.6502288053768073,0.4634008283479061,0.1436348960351285,57821954294.75,24.780632909753393,0.9066792705395672,0.1391742500928228,0.8038900023654135,0.254055104594168,1.0,0.3358210117910723,0.9348130051582446,20.19081733058308,0.08295859761118035,0.6395832613799768,0.04683914170842037,0.04254791865365832,0.0003311901474080624,0.012770401403142038,3.0494839085859846,11.25534192373182,3.3697969362320395,0.7119223762807115,0.03194318594531492,0.6077800047308272,0.7201240032226361,1.0,0.7013403281569515,2.5787409152221423,0.11240009249630778,148.9115007497952,11.27458225423739,138244.22206834677,0.7060045573099,0.3473780440479324,0.9973710352171348,0.47251130880193015,2833.493322151696,1561.75,49.0,42.0,1.0909090908636363,0.1200100452032003,3.698203682843347,1.0744337200478271,2.6502288053768073,0.4634008283479061,0.1436348960351285,57821954294.75,24.780632909753393,0.9066792705395672,0.1391742500928228,0.8038900023654135,0.254055104594168,1.0,0.3358210117910723,0.9348130051582446,20.19081733058308,0.08295859761118035,0.6395832613799768,0.04683914170842037,0.04254791865365832,0.0003311901474080624,0.012770401403142038,3.0494839085859846,11.25534192373182,3.3697969362320395,0.7119223762807115,0.03194318594531492,0.6077800047308272,0.7201240032226361,1.0,0.7013403281569515,2.5787409152221423,0.11240009249630778,148.9115007497952,11.27458225423739,0.2783485001856459,0.508110209188336,0.7572115384597182,0.7602163461520187,0.8461538461518121,0.9140624999978028,0.5805288461524507,0.6538461538445821,0.7193509615391362,0.8058894230773896,0.8245192307696526,0.8701923076926197,0.5678635817296446,0.5107634546115501,0.6323617788470376,0.7956730769211643,0.8467548076902722,0.8317307692287699,0.6676682692291642,0.6610576923061033,56.786500000000004,51.07625,63.23625,66.106,0.6298232293987339,0.5385578593066995,0.49631328589706086,0.02205763772749325,0.012695041392594364,0.07392630335886174,0.8299278846133896,0.7752403846135212,0.8533653846133333,0.4654097832365513,0.3777866166230798,0.39880493387020804,0.3630103965253198,46.541,37.778999999999996,39.88075,36.301249999999996,119467.76971820949,0.6876976070071884,0.34175964445532947,2176.453258279951,1297.625,39.5,31.75,0.1146910751340742,1.0650610393748448,44257047613.5,0.7854053771518431,0.24460424886496918,0.8604310685805853,19.752953904356012,0.041560101381327694,0.00031572501418582975,0.010328555608569816,1.837844868187854,0.5948028765294162,0.5238936503763381,0.6560496794856026,0.6331129807677089,0.7061298076906103
max,20244.0,227246.292012792,0.808786190021579,0.4010652721847842,1.1614511329202883,0.8941113007995788,13135.982794677215,5582.0,207.0,187.0,6.99999999825,0.27551020408123106,3.8904459593644694,1.0950047061391535,2.811970706726026,0.8062084257206208,0.7011086474501108,118265118450.0,26.123164142047905,0.9692401080628903,0.18824408530601372,0.8567726049194184,0.31971292364215165,1.0,0.4301835987830715,1.2475082304450806,21.770797170689832,0.23012571481741861,0.7359165002719489,0.07521019700865045,0.1420723676001612,0.0009525616488003454,0.04394242386281854,4.530816785188378,20.351199760915556,16.706740568503452,0.8304183721774211,0.06018406687152825,0.7135452098388376,0.8012111374713409,1.0,0.8012111374713409,5.010020261050032,0.7561245455131403,836.0595767788484,20.419577967156787,227246.292012792,0.808786190021579,0.4010652721847842,1.1614511329202883,0.8941113007995788,13135.982794677215,5582.0,207.0,187.0,6.99999999825,0.27551020408123106,3.8904459593644694,1.0950047061391535,2.811970706726026,0.8062084257206208,0.7011086474501108,118265118450.0,26.123164142047905,0.9692401080628903,0.18824408530601372,0.8567726049194184,0.31971292364215165,1.0,0.4301835987830715,1.2475082304450806,21.770797170689832,0.23012571481741861,0.7359165002719489,0.07521019700865045,0.1420723676001612,0.0009525616488003454,0.04394242386281854,4.530816785188378,20.351199760915556,16.706740568503452,0.8304183721774211,0.06018406687152825,0.7135452098388376,0.8012111374713409,1.0,0.8012111374713409,5.010020261050032,0.7561245455131403,836.0595767788484,20.419577967156787,0.3764881706120269,0.6394258472843024,0.9999999999975961,0.9591346153823098,0.9999999999975961,0.9999999999975961,0.8293269230749295,0.9999999999975961,0.9855769230769578,0.9987980769230798,1.0,1.0,0.6713942307678572,0.6504044399299063,0.980769230769277,0.9855769230745539,0.9951923076899154,0.9975961538437558,0.9831730769207135,0.9062499999978215,67.139,65.04,98.077,90.625,0.8643584905685242,0.8254697984010846,0.8024641424519923,0.2135516990717239,0.04699093629346596,0.5802007255509558,0.9999999999975961,0.9999999999975961,0.9999999999975961,0.7999471607405814,0.6488668847992928,0.7928191407379231,0.6358793400742512,79.995,64.887,79.282,63.588,185862.00244744177,0.7365123737146222,0.4010652721847842,7020.688786466343,1888.6666666666665,91.0,71.66666666666666,0.1873862852121374,1.0883282372677303,118265118450.0,0.8516505557752299,0.31971292364215165,1.2475082304450806,21.770797170689832,0.1420723676001612,0.0009525616488003454,0.016719679374058542,4.4899747911851104,0.8556052994645158,0.6126033347683958,0.9951923076899154,0.9999999999975961,0.9975961538437558
